肖申克的救赎,1994,9.7,2751971
霸王别姬,1993,9.6,2038490
阿甘正传,1994,9.5,2063760
泰坦尼克号,1997,9.5,2023280
这个杀手不太冷,1994,9.4,2203328
美丽人生,1997,9.6,1267800
千与千寻,2001,9.4,2138624
辛德勒的名单,1993,9.6,1057333
盗梦空间,2010,9.4,1972944
星际穿越,2014,9.4,1706669
楚门的世界,1998,9.4,1602006
忠犬八公的故事,2009,9.4,1343705
海上钢琴师,1998,9.3,1607703
三傻大闹宝莱坞,2009,9.2,1784377
放牛班的春天,2004,9.3,1252239
机器人总动员,2008,9.3,1261389
无间道,2002,9.3,1288236
疯狂动物城,2016,9.2,1825141
大话西游之大圣娶亲,1995,9.2,1466961
控方证人,1957,9.6,509836
熔炉,2011,9.4,893893
教父,1972,9.3,917548
当幸福来敲门,2006,9.2,1455779
触不可及,2011,9.3,1047423
怦然心动,2010,9.1,1751634
龙猫,1988,9.2,1208729
末代皇帝,1987,9.3,828911
寻梦环游记,2017,9.1,1578961
蝙蝠侠：黑暗骑士,2008,9.2,1009851
活着,1994,9.3,798284
哈利・波特与魔法石,2001,9.2,1117119
指环王3：王者无敌,2003,9.3,765544
乱世佳人,1939,9.3,658911
素媛,2013,9.3,653838
飞屋环游记,2009,9.1,1265018
我不是药神,2018,9.0,2003416
摔跤吧！爸爸,2016,9.0,1502844
何以为家,2018,9.1,994972
十二怒汉,1957,9.4,461907
哈尔的移动城堡,2004,9.1,967160
鬼子来了,2000,9.3,596419
少年派的奇幻漂流,2012,9.1,1297539
猫鼠游戏,2002,9.1,956950
让子弹飞,2010,9.0,1616370
大话西游之月光宝盒,1995,9.0,1168735
钢琴家,2002,9.3,594917
天空之城,1986,9.2,783546
海蒂和爷爷,2015,9.3,552519
指环王2：双塔奇兵,2002,9.2,716306
闻香识女人,1992,9.1,837717
哈利・波特与死亡圣器(下),2011,9.0,784887
沉默的羔羊,1991,8.9,843262
禁闭岛,2010,8.9,925430
布达佩斯大饭店,2014,8.9,879042
致命魔术,2006,8.9,819599
蝴蝶效应,2004,8.9,893901
海豚湾,2009,9.3,346900
美国往事,1984,9.2,394095
心灵捕手,1997,8.9,675658
低俗小说,1994,8.9,794150
春光乍泄,1997,9.0,600876
摩登时代,1936,9.3,285087
功夫,2004,8.8,1051614
喜剧之王,1999,8.8,923017
哈利・波特与阿兹卡班的囚徒,2004,8.9,677777
超脱,2011,9.0,551028
七宗罪,1995,8.8,907496
致命ID,2003,8.8,780060
杀人回忆,2003,8.9,673822
红辣椒,2006,9.1,433995
加勒比海盗,2003,8.8,820169
狩猎,2012,9.1,369420
被嫌弃的松子的一生,2006,8.9,677758
7号房的礼物,2013,8.9,531792
请以你的名字呼唤我,2017,8.9,684213
恐怖直播,2013,8.7,623863
模仿游戏,2014,8.8,615816
喜宴,1993,9.0,339551
血战钢锯岭,2016,8.7,753508
七武士,1954,9.3,187207
花样年华,2000,8.7,572166
头脑特工队,2015,8.8,578518
九品芝麻官,1994,8.7,632533
黑客帝国3：矩阵革命,2003,8.8,427878
电锯惊魂,2004,8.8,505604
惊魂记,1960,9.0,271724
三块广告牌,2017,8.7,786287
你的名字。,2016,8.5,1325667
达拉斯买家俱乐部,2013,8.8,433638
卢旺达饭店,2004,8.9,313435
色，戒,2007,8.6,742774
疯狂原始人,2013,8.7,804686
上帝之城,2002,9.0,289745
心迷宫,2014,8.7,493177
茶馆,1982(中国大陆),9.5,123757
谍影重重3,2007,8.8,399953
英雄本色,1986,8.6,509294
风之谷,1984,8.9,341370
纵横四海,1991,8.8,401017
海街日记,2015,8.8,424059
